"","edad","educ","empleo","direccion","ingresos","deudaingr","deudacred","deudaotro","impago"
"358",24,"Título de Bachiller",0,2,15,16.1,0.321195,2.093805,"Sí"
"359",32,"Superiores iniciados",9,10,51,23,2.68617,9.04383,"No"
"360",21,"Superiores iniciados",0,1,26,7.7,1.529528,0.472472,"No"
"361",29,"No completó el bachillerato",13,7,27,NA,0.068931,0.552069,"No"
"362",35,"Título de Bachiller",14,3,82,0.8,0.468384,0.187616,"No"
"363",29,"No completó el bachillerato",6,7,21,18.1,1.109892,2.691108,"No"
"364",41,"Título de Bachiller",2,22,30,NA,0.11256,1.89744,"No"
"365",37,"No completó el bachillerato",0,18,18,12.9,1.583604,0.738396,"Sí"
"366",32,"Título de Bachiller",3,13,47,NA,0.42864,0.46436,"No"
"367",36,"Título de Post-grado",NA,NA,20,8.1,0.729,0.891,"No"
"368",39,"Título de Bachiller",18,9,44,NA,0.367752,0.556248,"No"
"369",36,"No completó el bachillerato",NA,9,67,11.2,5.245296,NA,"No"
"370",46,"Superiores iniciados",22,NA,99,2.3,0.826551,1.450449,"No"
"371",34,"No completó el bachillerato",13,11,NA,9.6,1.875168,3.020832,"No"
"372",27,"No completó el bachillerato",NA,4,26,9.1,0.641186,1.724814,"No"
"373",43,"No completó el bachillerato",NA,11,45,3.3,0.67716,0.80784,"No"
"374",33,"No completó el bachillerato",NA,NA,72,41.3,15.01668,14.71932,"Sí"
"375",39,"Título de Bachiller",20,17,101,1.4,0.340774,1.073226,"No"
"376",29,"No completó el bachillerato",1,NA,17,2.5,0.13175,0.29325,"No"
"377",34,"Título Superior",7,15,40,6.4,0.94976,1.61024,"No"
"378",26,"No completó el bachillerato",1,0,21,4.9,0.608139,0.420861,"No"
"379",31,"No completó el bachillerato",15,2,60,4.8,0.80352,2.07648,"No"
"380",26,"No completó el bachillerato",10,6,24,2.7,0.31104,0.33696,"No"
"381",28,"No completó el bachillerato",12,NA,45,NA,1.853775,1.611225,"No"
"382",48,"No completó el bachillerato",13,20,50,30.8,6.1138,9.2862,"Sí"
"383",39,"Título de Bachiller",2,12,46,16,4.00384,3.35616,"Sí"
"384",37,"No completó el bachillerato",NA,3,NA,3.7,0.27565,0.64935,"No"
"385",52,"Título de Post-grado",NA,0,70,9.4,1.32916,NA,"Sí"
"386",48,"No completó el bachillerato",3,11,27,21.3,NA,NA,"No"
"387",26,"No completó el bachillerato",7,3,22,NA,0.208692,0.913308,"No"
"388",46,"Título de Post-grado",15,0,126,3.1,0.476532,3.429468,"No"
"389",31,"No completó el bachillerato",7,10,NA,4.9,0.2254,0.9016,"No"
"390",34,"No completó el bachillerato",13,8,56,6.1,0.864248,2.551752,"No"
"391",40,NA,22,4,95,3.6,0.6327,2.7873,"No"
"392",NA,"Superiores iniciados",NA,5,16,NA,0.270336,NA,"Sí"
"393",NA,"No completó el bachillerato",2,14,44,3.1,0.52514,0.83886,"No"
"394",53,"Título Superior",5,29,78,17.3,6.935916,6.558084,"Sí"
"395",47,"Superiores iniciados",9,1,52,20.1,NA,7.912164,"Sí"
"396",NA,NA,5,5,32,NA,0.17472,3.98528,"No"
"397",34,"No completó el bachillerato",14,8,28,17,1.13764,3.62236,"No"
"398",49,"No completó el bachillerato",11,5,39,10.1,2.457936,1.481064,"No"
"399",26,NA,0,7,28,9.3,1.270752,1.333248,"No"
"400",23,"No completó el bachillerato",2,2,16,9.6,0.804864,0.731136,"Sí"
"401",23,"Título de Bachiller",NA,4,21,8.7,0.454923,1.372077,"No"
"402",NA,"Título de Bachiller",4,13,56,1.6,0.441728,0.454272,"No"
"403",28,"Título de Bachiller",5,2,37,8.3,1.123986,1.947014,"No"
"404",NA,"Superiores iniciados",0,8,65,29.7,3.89961,15.40539,"Sí"
"405",NA,"No completó el bachillerato",18,10,34,15.4,2.099636,3.136364,"No"
"406",50,"Título de Bachiller",16,14,71,11.1,1.662891,6.218109,"No"
"407",29,"No completó el bachillerato",12,NA,40,6.7,1.63212,1.04788,"No"
"408",42,"Superiores iniciados",0,9,64,6.6,0.278784,3.945216,"No"
"409",31,"No completó el bachillerato",13,12,27,5,0.2376,1.1124,"No"
"410",39,NA,10,4,31,NA,0.184512,NA,"No"
"411",NA,"Título de Bachiller",21,26,132,3,2.55816,1.40184,"No"
"412",45,"No completó el bachillerato",22,24,91,11.7,1.256346,9.390654,"No"
"413",36,"No completó el bachillerato",14,17,53,5.7,1.888125,1.132875,"No"
"414",25,"Título Superior",0,6,24,12.1,1.5972,1.3068,"Sí"
"415",NA,NA,1,7,29,21.2,2.330092,3.817908,"Sí"
"416",30,"Título de Bachiller",8,4,56,6.4,0.333312,3.250688,"No"
"417",31,"No completó el bachillerato",1,1,24,4.5,0.21708,0.86292,"No"
"418",43,"No completó el bachillerato",4,2,29,4.6,0.05336,1.28064,"No"
"419",32,"Título de Bachiller",NA,4,57,23.8,5.439966,8.126034,"Sí"
"420",47,"No completó el bachillerato",19,7,50,NA,3.17555,NA,"No"
"421",46,"No completó el bachillerato",1,15,21,NA,1.376844,1.731156,"Sí"
"422",43,"Título de Bachiller",16,10,83,4.1,0.258628,3.144372,"No"
"423",48,NA,3,7,24,7,0.7644,0.9156,"No"
"424",30,"Superiores iniciados",8,7,61,2.8,0.549976,1.158024,"No"
"425",23,"Título Superior",0,4,32,18.4,0.818432,5.069568,"Sí"
"426",NA,"Título Superior",8,NA,32,1.6,0.024576,0.487424,"No"
"427",20,"Superiores iniciados",0,NA,17,2.3,0.043792,0.347208,"No"
"428",43,"No completó el bachillerato",16,7,89,0.4,0.159488,0.196512,"No"
"429",23,"No completó el bachillerato",NA,1,25,4.5,0.12375,1.00125,"Sí"
"430",41,"No completó el bachillerato",NA,2,76,20.5,NA,NA,"No"
"431",34,"No completó el bachillerato",12,5,68,25.1,7.817144,9.250856,"Sí"
"432",50,"No completó el bachillerato",11,5,36,4.8,0.834624,0.893376,"No"
"433",40,"No completó el bachillerato",9,4,64,6.6,0.789888,3.434112,"No"
"434",29,"Título de Bachiller",0,8,22,12.9,1.038708,1.799292,"Sí"
"435",39,NA,NA,NA,56,18.7,4.76476,5.70724,"No"
"436",24,"Título de Bachiller",1,2,42,5.7,0.8379,1.5561,"No"
"437",27,"No completó el bachillerato",0,5,16,1.1,0.130416,0.045584,"No"
"438",NA,"Superiores iniciados",18,14,157,6.6,3.326202,7.035798,"No"
"439",NA,"Título de Bachiller",NA,2,45,3.7,NA,0.68265,"No"
"440",39,"Título de Bachiller",16,12,53,3.7,0.694194,1.266806,"No"
"441",40,"No completó el bachillerato",22,1,100,14.6,5.402,9.198,"No"
"442",32,"No completó el bachillerato",10,11,42,9.1,1.540266,2.281734,"No"
"443",39,NA,23,NA,75,18.9,3.132675,11.042325,"No"
"444",24,"No completó el bachillerato",3,3,21,28.9,2.682498,3.386502,"Sí"
"445",43,"Título Superior",18,14,446,6.5,16.03147,12.95853,"Sí"
"446",56,"No completó el bachillerato",11,20,59,15,NA,4.1772,"No"
"447",32,"Superiores iniciados",5,9,23,4.5,0.326025,0.708975,"No"
"448",42,"No completó el bachillerato",7,12,25,10.2,1.62945,0.92055,"No"
"449",46,"Superiores iniciados",3,13,43,13.2,3.042336,2.633664,"Sí"
"450",31,"No completó el bachillerato",2,2,22,16.4,1.739056,NA,"Sí"
"451",43,"No completó el bachillerato",25,16,242,2.6,1.63592,4.65608,"No"
"452",28,"Título de Bachiller",6,9,22,11.5,0.65021,NA,"No"
"453",39,"Superiores iniciados",11,17,39,12.9,2.560779,2.470221,"No"
"454",39,"No completó el bachillerato",0,8,39,7.9,1.066026,2.014974,"No"
"455",NA,"Título Superior",1,14,33,16.1,2.693691,2.619309,"Sí"
"456",30,"No completó el bachillerato",0,11,17,12,0.30396,1.73604,"No"
"457",37,NA,9,16,177,5.9,0.887655,9.555345,"No"
"458",22,"No completó el bachillerato",4,3,14,17.5,0.2254,2.2246,"No"
"459",50,"No completó el bachillerato",1,26,26,14.3,1.851564,NA,"No"
"460",30,"No completó el bachillerato",NA,2,19,4.4,0.336072,0.499928,"No"
"461",39,"No completó el bachillerato",NA,0,NA,4,0.27636,NA,"No"
"462",21,"Título de Bachiller",0,2,21,12.5,0.48825,2.13675,"Sí"
"463",31,"Superiores iniciados",9,2,28,NA,0.121576,0.606424,"No"
"464",31,"Título de Bachiller",9,1,30,5.8,0.60204,NA,"No"
"465",48,"No completó el bachillerato",0,23,30,NA,2.66262,4.02738,"No"
"466",28,"No completó el bachillerato",4,1,NA,23.8,1.08528,2.72272,"No"
"467",47,"Superiores iniciados",NA,26,221,17.6,15.791776,23.104224,"Sí"
"468",27,"Título de Bachiller",6,1,34,4.4,0.237864,1.258136,"No"
"469",29,"Título de Bachiller",6,10,65,18.4,1.98536,9.97464,"No"
"470",21,"Título de Bachiller",2,0,20,4.5,0.2907,0.6093,"Sí"
"471",29,"No completó el bachillerato",7,5,20,19.8,1.00584,2.95416,"Sí"
"472",24,"Título Superior",0,3,29,6.6,0.589512,1.324488,"Sí"
"473",44,"No completó el bachillerato",NA,3,31,9.7,NA,NA,"No"
"474",22,"No completó el bachillerato",1,0,18,4.4,0.270072,0.521928,"No"
"475",38,"Título de Bachiller",13,0,59,2.4,0.407808,1.008192,"No"
"476",52,"Título de Bachiller",12,16,76,7.7,0.99484,4.85716,"No"
"477",NA,"No completó el bachillerato",3,2,18,16.3,0.35208,2.58192,"Sí"
"478",25,"No completó el bachillerato",5,5,22,NA,0.402864,1.995136,"No"
"479",51,"Título de Bachiller",27,21,166,11.5,NA,18.26913,"No"
"480",38,"No completó el bachillerato",21,16,NA,16.5,4.58403,4.98597,"No"
"481",NA,"No completó el bachillerato",9,20,33,5.2,0.545688,1.170312,"No"
"482",24,"Título de Bachiller",2,3,26,9.7,0.887744,1.634256,"Sí"
"483",NA,"No completó el bachillerato",5,3,NA,7.3,0.778107,1.630893,"No"
"484",25,"Título de Bachiller",6,2,NA,4.5,0.0702,1.0998,"No"
"485",45,"Superiores iniciados",5,17,94,10.5,3.61242,6.25758,"Sí"
"486",34,NA,4,10,25,5.8,0.56985,NA,"No"
"487",27,"Título Superior",2,8,23,5.7,0.319884,NA,"Sí"
"488",33,NA,10,13,57,20.9,6.111369,5.801631,"Sí"
"489",35,NA,0,16,22,15,1.9701,1.3299,"Sí"
"490",50,"Título de Bachiller",15,31,60,1.1,0.46794,0.19206,"No"
"491",33,"No completó el bachillerato",13,13,42,3.6,0.228312,1.283688,"No"
"492",41,"Superiores iniciados",13,13,NA,25.2,NA,20.615868,"Sí"
"493",28,NA,NA,2,28,33.3,2.28438,7.03962,"Sí"
"494",38,"Superiores iniciados",12,14,63,16,5.71536,4.36464,"Sí"
"495",25,NA,3,2,16,17.8,1.01104,1.83696,"Sí"
"496",47,"Título de Bachiller",4,NA,33,7.1,1.19493,1.14807,"Sí"
"497",30,"Título de Bachiller",NA,9,98,NA,2.935296,4.120704,"No"
"498",44,"Título de Bachiller",12,5,86,13,NA,9.70424,"No"
"499",25,NA,0,2,18,18.9,0.513702,2.888298,"Sí"
"500",41,NA,6,0,NA,19.5,4.51386,2.50614,"Sí"
"501",22,"Superiores iniciados",0,1,18,7.7,0.47817,0.90783,"No"
"502",35,"Título de Bachiller",3,NA,NA,17.2,1.80256,5.07744,"Sí"
"503",42,"Título de Post-grado",6,23,190,7.8,3.15666,11.66334,"No"
"504",38,"No completó el bachillerato",3,19,23,14.7,0.831726,2.549274,"No"
"505",23,"Título de Bachiller",1,3,18,18.7,0.885258,2.480742,"Sí"
"506",28,"Superiores iniciados",2,5,30,19.9,1.52235,4.44765,"No"
"507",52,"No completó el bachillerato",19,NA,89,4.7,0.397385,3.785615,"No"
"508",NA,"No completó el bachillerato",9,2,NA,3.5,0.105,0.595,"No"
"509",28,"Título de Bachiller",1,4,16,14.7,0.573888,1.778112,"No"
"510",43,"No completó el bachillerato",19,11,79,7.5,0.7821,5.1429,"No"
"511",24,NA,3,1,24,19.1,2.172816,2.411184,"No"
"512",34,NA,NA,7,52,9.2,1.497392,3.286608,"No"
"513",29,"Título de Bachiller",NA,9,25,NA,0.58485,0.46515,"No"
"514",NA,"No completó el bachillerato",6,9,21,8.3,0.728574,NA,"No"
"515",42,NA,14,1,48,8.6,1.201248,2.926752,"Sí"
"516",49,"Título de Bachiller",11,1,51,15,0.54315,7.10685,"No"
"517",NA,"No completó el bachillerato",22,9,73,14.3,3.726723,6.712277,"No"
"518",45,"Superiores iniciados",0,19,22,4.2,0.030492,0.893508,"No"
"519",41,"No completó el bachillerato",7,22,32,2.9,0.072384,0.855616,"No"
"520",29,"Título de Bachiller",9,0,NA,1.6,0.241408,0.494592,"No"
"521",35,"Superiores iniciados",7,5,38,15.1,1.382858,4.355142,"No"
"522",27,"Título de Bachiller",5,6,25,6.8,0.7055,0.9945,"No"
"523",28,"No completó el bachillerato",NA,7,19,4.1,NA,0.492328,"No"
"524",48,"No completó el bachillerato",17,22,66,3.2,1.46784,0.64416,"No"
"525",24,"No completó el bachillerato",2,5,18,6,0.52812,0.55188,"No"
"526",31,"No completó el bachillerato",NA,12,33,NA,0.14553,1.24047,"No"
"527",43,"No completó el bachillerato",10,9,69,6.4,0.410688,4.005312,"No"
"528",42,"No completó el bachillerato",3,10,24,10.6,0.666528,1.877472,"No"
"529",51,"Título de Bachiller",31,14,249,7.8,4.27284,NA,"No"
"530",22,"No completó el bachillerato",4,3,NA,NA,1.88727,NA,"Sí"
"531",NA,"No completó el bachillerato",6,10,31,11.7,1.701063,NA,"Sí"
"532",22,"Superiores iniciados",1,3,25,13.8,1.97685,1.47315,"Sí"
"533",49,"Título de Bachiller",2,13,20,16.9,0.37856,3.00144,"Sí"
"534",29,"No completó el bachillerato",9,8,NA,8.2,0.15498,2.30502,"No"
"535",42,"No completó el bachillerato",2,16,30,9.7,1.47246,NA,"No"
"536",34,"No completó el bachillerato",15,0,67,13.2,NA,5.102988,"No"
"537",34,NA,9,7,27,1.7,0.295137,0.163863,"No"
"538",32,"Título de Bachiller",5,5,NA,15,1.806,4.644,"Sí"
"539",42,"Título de Bachiller",18,23,66,NA,1.641024,NA,"No"
"540",24,"No completó el bachillerato",3,0,14,16.1,0.838488,1.415512,"Sí"
"541",NA,"No completó el bachillerato",16,9,48,7.6,1.473792,2.174208,"No"
"542",26,"No completó el bachillerato",10,2,32,4.7,0.126336,1.377664,"No"
"543",30,"Título de Bachiller",12,9,68,20.1,2.856612,10.811388,"No"
"544",32,NA,4,3,16,28.5,0.89376,NA,"Sí"
"545",38,"Superiores iniciados",13,18,25,5.7,0.343425,1.081575,"No"
"546",43,"Título de Bachiller",10,24,37,8.5,0.676175,2.468825,"No"
"547",31,"Título de Bachiller",9,8,53,13.5,1.194885,5.960115,"No"
"548",37,"Título Superior",10,18,123,17.3,3.021618,NA,"No"
"549",37,"Título de Bachiller",4,11,20,21.7,NA,4.1664,"Sí"
"550",41,"Superiores iniciados",12,11,86,26.5,4.99101,17.79899,"Sí"
"551",32,"No completó el bachillerato",0,4,NA,NA,0.2634,0.3366,"Sí"
"552",22,"Título de Bachiller",0,1,35,9,0.7812,2.3688,"Sí"
"553",32,"Título de Bachiller",12,3,63,18.2,5.549544,5.916456,"No"
"554",47,"Título de Bachiller",17,23,41,9.5,0.455715,3.439285,"No"
"555",40,"No completó el bachillerato",21,21,46,6.2,0.966828,1.885172,"No"
"556",31,"No completó el bachillerato",8,NA,22,6.7,0.369974,1.104026,"No"
"557",34,"Superiores iniciados",7,NA,NA,2.2,0.125334,0.468666,"No"
"558",52,"Título Superior",13,17,234,7.7,7.38738,10.63062,"No"
"559",28,"No completó el bachillerato",2,2,17,NA,NA,NA,"Sí"
"560",NA,"Superiores iniciados",15,18,63,13.4,5.090526,3.351474,"No"
"561",33,"Título de Bachiller",10,4,26,3.1,0.030628,0.775372,"No"
"562",39,"Título de Bachiller",9,12,32,6.6,1.429824,0.682176,"No"
"563",47,"Superiores iniciados",23,11,115,NA,0.6532,3.9468,"No"
"564",36,"Título de Bachiller",11,8,49,1.3,0.272636,0.364364,"No"
"565",29,"Superiores iniciados",7,2,84,13.6,6.91152,4.51248,"Sí"
"566",48,"Título Superior",14,10,59,16.5,NA,4.799355,"Sí"
"567",38,"Superiores iniciados",12,18,64,5.8,0.894592,2.817408,"No"
"568",46,"Título de Bachiller",9,26,15,4.3,0.014835,0.630165,"No"
"569",27,"Superiores iniciados",5,4,42,19.9,NA,5.650008,"Sí"
"570",54,"No completó el bachillerato",18,34,114,8.5,3.2946,NA,"No"
"571",27,"Título Superior",0,0,25,12.7,1.419225,1.755775,"Sí"
"572",23,NA,NA,0,17,1.6,0.011696,0.260304,"No"
"573",41,"No completó el bachillerato",23,2,91,13.7,0.573482,11.893518,"No"
"574",24,"No completó el bachillerato",3,5,15,NA,0.072885,1.622115,"Sí"
"575",28,"No completó el bachillerato",9,NA,22,27.7,5.283498,0.810502,"Sí"
"576",26,"No completó el bachillerato",0,0,14,10.5,0.25578,1.21422,"No"
"577",24,"No completó el bachillerato",8,0,NA,5.6,0.569296,0.382704,"Sí"
"578",49,"Título de Bachiller",22,4,79,7.3,0.28835,5.47865,"No"
"579",28,"Título de Bachiller",3,1,36,8.6,0.383904,2.712096,"No"
"580",38,"No completó el bachillerato",6,17,18,13,NA,2.20896,"No"
"581",33,"Título de Bachiller",NA,9,37,4.5,0.834165,0.830835,"No"
"582",26,"No completó el bachillerato",8,4,25,4.7,0.210325,0.964675,"No"
"583",36,"No completó el bachillerato",NA,1,40,9.8,1.97568,1.94432,"No"
"584",37,NA,16,14,50,36.6,7.32,10.98,"Sí"
"585",25,"Título Superior",0,1,18,33.4,2.801592,3.210408,"Sí"
"586",29,"No completó el bachillerato",9,2,33,4.8,0.693792,0.890208,"No"
"587",27,"Título de Bachiller",8,NA,38,6.9,0.364458,2.257542,"No"
"588",45,"No completó el bachillerato",17,NA,62,15,2.4366,6.8634,"No"
"589",37,"No completó el bachillerato",NA,NA,57,NA,NA,1.777545,"No"
"590",29,"Título de Bachiller",NA,6,26,6.1,0.537654,1.048346,"Sí"
"591",51,"No completó el bachillerato",10,1,44,13.2,4.960032,0.847968,"Sí"
"592",22,"Superiores iniciados",0,0,23,8.4,0.372876,1.559124,"Sí"
"593",30,"Título Superior",7,10,30,15.7,0.26376,4.44624,"No"
"594",NA,"No completó el bachillerato",7,2,20,NA,0.1107,2.3493,"No"
"595",28,"No completó el bachillerato",2,0,18,14.8,1.939392,0.724608,"Sí"
"596",35,"No completó el bachillerato",10,16,39,5.7,0.217854,2.005146,"No"
"597",25,"Título Superior",1,1,34,8.5,0.13294,2.75706,"Sí"
"598",32,"Título de Bachiller",5,0,28,14.8,2.594144,1.549856,"Sí"
"599",33,"No completó el bachillerato",2,10,24,9.6,1.041408,1.262592,"No"
"600",28,"Título de Bachiller",3,NA,41,25.1,5.896743,4.394257,"Sí"
"601",46,"Superiores iniciados",4,17,73,5.4,2.223288,1.718712,"No"
"602",41,NA,NA,12,83,14,6.58854,5.03146,"No"
"603",42,"Título de Bachiller",11,5,NA,6.8,2.869192,2.094808,"No"
"604",41,"Título Superior",NA,13,47,5,0.4371,1.9129,"No"
"605",26,"No completó el bachillerato",3,5,29,25.7,2.526567,4.926433,"Sí"
"606",47,"No completó el bachillerato",27,8,113,NA,NA,8.015316,"No"
"607",29,"No completó el bachillerato",1,3,18,25.6,1.98144,2.62656,"Sí"
"608",NA,"No completó el bachillerato",3,14,NA,4.7,0.624348,1.067652,"No"
"609",36,"No completó el bachillerato",7,2,43,NA,NA,1.62626,"No"
"610",38,"Título de Bachiller",7,4,64,3,0.65088,1.26912,"No"
"611",41,"Título de Bachiller",4,14,NA,19.2,1.47264,3.51936,"Sí"
"612",NA,"No completó el bachillerato",9,23,31,13.8,1.617084,NA,"No"
"613",40,NA,3,NA,55,16.5,1.751475,7.323525,"Sí"
"614",44,"Título de Bachiller",17,0,129,2.5,0.551475,2.673525,"No"
"615",35,"Superiores iniciados",10,15,39,10.4,1.60212,2.45388,"No"
"616",36,"No completó el bachillerato",20,15,60,5.4,1.05624,2.18376,"No"
"617",28,"Título de Bachiller",0,3,30,4.8,0.12096,1.31904,"Sí"
"618",29,"Título de Bachiller",NA,7,18,NA,0.44982,0.46818,"Sí"
"619",23,"Título de Bachiller",3,3,22,11.4,1.274064,1.233936,"Sí"
"620",41,"Título de Bachiller",7,17,63,15.4,4.637556,5.064444,"No"
"621",25,"No completó el bachillerato",1,1,19,6.9,0.190095,1.120905,"No"
"622",45,"Título de Bachiller",NA,19,29,5.4,0.443178,1.122822,"No"
"623",48,"Título de Bachiller",30,14,148,7.2,3.974688,6.681312,"No"
"624",NA,"No completó el bachillerato",NA,7,45,7,0.5355,2.6145,"No"
"625",NA,"No completó el bachillerato",6,4,46,5.4,1.169964,1.314036,"No"
"626",42,"Título Superior",15,8,186,3.6,2.403864,4.292136,"No"
"627",31,"No completó el bachillerato",11,12,NA,10.9,2.863757,2.259243,"No"
"628",NA,"No completó el bachillerato",3,13,23,6.9,0.409446,1.177554,"No"
"629",26,"No completó el bachillerato",2,6,21,19.8,1.022868,3.135132,"No"
"630",25,"No completó el bachillerato",6,6,22,20.2,2.261996,2.182004,"No"
"631",53,"Título Superior",7,11,NA,7.9,1.874591,2.944409,"No"
"632",50,"Superiores iniciados",18,27,102,14.1,NA,8.600436,"No"
"633",47,"No completó el bachillerato",31,9,136,NA,14.231448,17.184552,"Sí"
"634",23,"No completó el bachillerato",1,NA,21,8.4,1.210104,0.553896,"Sí"
"635",37,"Superiores iniciados",12,NA,83,4.1,0.319882,NA,"No"
"636",NA,NA,24,15,100,11.5,5.06,6.44,"No"
"637",28,"Título de Bachiller",0,7,29,13.3,2.148349,1.708651,"Sí"
"638",31,"No completó el bachillerato",NA,11,41,NA,2.995706,9.591294,"Sí"
"639",41,"Título de Bachiller",6,1,19,6.3,0.124488,1.072512,"No"
"640",36,"No completó el bachillerato",7,17,40,NA,1.69488,2.26512,"No"
"641",41,"No completó el bachillerato",1,16,19,4.4,0.241604,0.594396,"No"
"642",53,"Título de Bachiller",16,31,44,5.6,1.333024,1.130976,"No"
"643",NA,"Título de Bachiller",6,5,NA,11.5,2.331625,0.543375,"No"
"644",28,"Título de Bachiller",NA,6,25,2.9,0.338575,0.386425,"No"
"645",48,"No completó el bachillerato",28,25,70,12,NA,4.0656,"No"
"646",23,"Título de Bachiller",0,1,42,3.9,1.018836,0.619164,"Sí"
"647",31,"No completó el bachillerato",11,6,34,6.8,0.298248,2.013752,"No"
"648",27,"No completó el bachillerato",6,6,43,4.9,0.882833,1.224167,"No"
"649",NA,"No completó el bachillerato",11,17,37,1.3,0.179894,0.301106,"No"
"650",29,"Título de Bachiller",5,7,28,18.7,2.125816,3.110184,"No"
"651",53,"No completó el bachillerato",6,7,NA,6.4,0.594432,1.133568,"Sí"
"652",38,"No completó el bachillerato",4,9,19,13.6,1.245488,1.338512,"No"
"653",30,"No completó el bachillerato",12,10,NA,8.5,0.17119,3.05881,"No"
"654",28,"Superiores iniciados",2,0,20,9.4,0.23312,1.64688,"Sí"
"655",36,"No completó el bachillerato",NA,2,33,32.5,1.26555,9.45945,"No"
"656",48,"No completó el bachillerato",NA,5,60,2.1,0.3213,0.9387,"No"
"657",31,"No completó el bachillerato",12,9,24,6.6,0.441936,1.142064,"No"
"658",35,"No completó el bachillerato",16,10,57,10.5,1.143135,4.841865,"No"
"659",50,"No completó el bachillerato",NA,4,23,12.5,NA,2.734125,"No"
"660",42,NA,12,9,55,15,2.53275,5.71725,"No"
"661",40,"No completó el bachillerato",2,3,28,7.1,0.184884,1.803116,"No"
"662",37,"Título de Bachiller",0,13,31,NA,0.118017,0.160983,"Sí"
"663",31,"Superiores iniciados",NA,8,54,2.8,0.402192,1.109808,"No"
"664",38,"No completó el bachillerato",11,13,35,NA,1.2656,1.5344,"No"
"665",35,"No completó el bachillerato",15,NA,77,NA,5.501188,NA,"No"
"666",44,"No completó el bachillerato",24,10,101,5.6,2.992024,2.663976,"No"
"667",44,"Título de Bachiller",21,NA,113,13.2,3.192024,11.723976,"No"
"668",33,"No completó el bachillerato",0,12,23,0.9,0.077418,0.129582,"No"
"669",35,"No completó el bachillerato",NA,14,29,4.9,0.264306,1.156694,"No"
"670",36,"Superiores iniciados",NA,4,43,13,0.96148,4.62852,"No"
"671",23,"Título de Bachiller",3,4,24,6.3,NA,0.96012,"No"
"672",27,"No completó el bachillerato",0,7,18,12.8,0.582912,1.721088,"No"
"673",34,"No completó el bachillerato",6,1,NA,1.2,0.04248,0.19752,"No"
"674",35,NA,0,5,34,11.1,1.369962,2.404038,"Sí"
"675",24,"Título de Bachiller",4,4,20,3.7,0.32412,0.41588,"No"
"676",NA,"No completó el bachillerato",30,8,101,6.4,1.87456,4.58944,"No"
"677",NA,"Título de Bachiller",8,1,40,NA,0.44368,4.27632,"No"
"678",40,"No completó el bachillerato",6,9,36,2.1,0.390852,0.365148,"Sí"
"679",34,"No completó el bachillerato",9,8,48,9.3,0.419616,4.044384,"No"
"680",NA,"No completó el bachillerato",17,4,42,3,0.09324,1.16676,"No"
"681",30,"No completó el bachillerato",7,NA,33,25.4,NA,NA,"Sí"
"682",20,"No completó el bachillerato",4,0,14,9.7,0.200984,1.157016,"Sí"
"683",36,NA,NA,17,30,11.5,0.3243,3.1257,"No"
"684",21,"No completó el bachillerato",1,1,16,6.3,0.14112,0.86688,"No"
"685",34,"No completó el bachillerato",18,10,53,10.5,0.840315,NA,"No"
"686",35,"No completó el bachillerato",7,5,39,16.1,1.701609,4.577391,"Sí"
"687",35,"Superiores iniciados",1,4,20,7.9,0.8532,0.7268,"No"
"688",34,"No completó el bachillerato",10,1,33,10.3,2.501664,NA,"Sí"
"689",33,"No completó el bachillerato",12,12,68,10.8,1.365984,5.978016,"No"
"690",NA,"No completó el bachillerato",4,2,18,10.7,0.227268,1.698732,"No"
"691",24,"Título de Bachiller",0,5,16,7.3,NA,1.143472,"No"
"692",47,"No completó el bachillerato",31,8,253,7.2,9.308376,8.907624,"No"
"693",NA,"No completó el bachillerato",0,26,27,28.9,2.754459,5.048541,"Sí"
"694",22,"Superiores iniciados",0,2,20,4.7,0.21902,0.72098,"No"
"695",48,"Título de Bachiller",NA,1,66,12.1,2.31594,5.67006,"No"
"696",36,"Título de Bachiller",6,15,27,4.6,0.262062,0.979938,"Sí"
"697",29,"Título de Bachiller",6,4,21,11.5,0.369495,2.045505,"No"
"698",33,"No completó el bachillerato",15,3,32,7.6,NA,1.940736,"No"
"699",45,"No completó el bachillerato",NA,22,NA,8.4,2.302608,NA,"No"
"700",37,NA,NA,14,44,14.7,2.994684,3.473316,"No"
